trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
2199,9,2016-11-15,Credit,Credit in cash ,800,26988.3,,,
2200,9,2016-12-16,Credit,Credit in cash ,800,27783.6,,,
2273,9,2016-06-17,Withdrawal,Withdrawal in cash,8900,15484.6,,,
2285,9,2016-12-17,Withdrawal,Withdrawal in cash,2100,25683.6,,,
2327,9,2016-07-31,Withdrawal,Withdrawal in cash,2100,17578.9,,,
2328,9,2016-07-29,Withdrawal,Withdrawal in cash,1250,19606.4,,,
2329,9,2016-08-06,Withdrawal,Withdrawal in cash,1300,16278.9,,,
2365,9,2016-05-31,Withdrawal,Withdrawal in cash,15,23584.6,Payment on Statement,,
2366,9,2016-06-30,Withdrawal,Withdrawal in cash,15,21156.4,Payment on Statement,,
2367,9,2016-07-31,Withdrawal,Withdrawal in cash,15,19678.9,Payment on Statement,,
2368,9,2016-08-31,Withdrawal,Withdrawal in cash,15,18437.6,Payment on Statement,,
2369,9,2016-09-30,Withdrawal,Withdrawal in cash,15,22904.1,Payment on Statement,,
2370,9,2016-10-31,Withdrawal,Withdrawal in cash,15,26188.3,Payment on Statement,,
2371,9,2016-11-30,Withdrawal,Withdrawal in cash,15,26983.6,Payment on Statement,,
2372,9,2016-12-31,Withdrawal,Withdrawal in cash,15,25478.4,Payment on Statement,,
2432,9,2016-02-26,Credit,Credit in cash ,10900,12100.0,,,
2433,9,2016-03-28,Credit,Credit in cash ,5800,18705.4,,,
2434,9,2016-04-27,Withdrawal,Withdrawal in cash,6800,27004.4,,,
2435,9,2016-05-27,Withdrawal,Withdrawal in cash,4400,23489.0,,,
2436,9,2016-06-26,Credit,Credit in cash ,5600,21084.6,,,
2437,9,2016-07-26,Withdrawal,Withdrawal in cash,1100,20856.4,,,
2438,9,2016-08-25,Credit,Credit in cash ,1300,18378.9,,,
2439,9,2016-09-24,Credit,Credit in cash ,3600,22837.6,,,
2440,9,2016-10-24,Credit,Credit in cash ,2400,26104.1,,,
2441,9,2016-11-23,Withdrawal,Withdrawal in cash,100,26888.3,,,
2442,9,2016-12-23,Withdrawal,Withdrawal in cash,300,25383.6,,,
3505,15,2016-10-02,Credit,Credit in cash ,800,800.0,,,
3515,15,2016-10-06,Credit,Credit in cash ,17065,17865.0,,,
3516,15,2016-11-06,Credit,Credit in cash ,17065,39392.4,,,
3517,15,2016-12-06,Credit,Credit in cash ,25598,57839.6,,,
3805,15,2016-11-01,Credit,Credit in cash ,4400,22327.4,,,
3806,15,2016-12-01,Withdrawal,Withdrawal in cash,7300,32241.6,,,
3807,15,2016-12-31,Withdrawal,Withdrawal in cash,16000,42066.1,,,
4152,18,2016-05-26,Credit,Credit in cash ,1100,1100.0,,,
4391,18,2016-06-25,Credit,Credit in cash ,13500,14600.0,,,
4392,18,2016-07-25,Credit,Credit in cash ,2600,17200.0,,,
4393,18,2016-08-24,Credit,Credit in cash ,3500,20700.0,,,
4394,18,2016-09-23,Credit,Credit in cash ,2500,23200.0,,,
4395,18,2016-10-23,Credit,Credit in cash ,200,23400.0,,,
4396,18,2016-12-22,Withdrawal,Withdrawal in cash,1900,21500.0,,,
5516,23,2016-05-22,Credit,Credit in cash ,800,800.0,,,
5522,23,2016-06-09,Credit,Credit in cash ,33132,33932.0,,,
5523,23,2016-07-09,Credit,Credit in cash ,22088,50759.8,,,
5524,23,2016-08-09,Credit,Credit in cash ,22088,61582.9,,,
5525,23,2016-09-09,Credit,Credit in cash ,22088,64439.5,,,
5526,23,2016-10-09,Credit,Credit in cash ,22088,69411.5,,,
5527,23,2016-11-09,Credit,Credit in cash ,22088,62973.2,,,
5528,23,2016-12-09,Credit,Credit in cash ,33132,69210.6,,,
5599,23,2016-11-05,Withdrawal,Remittance to Another Bank,5807,40885.2,Household ,UniCredit Bank,20774019
5600,23,2016-12-05,Withdrawal,Remittance to Another Bank,5807,36078.6,Household ,UniCredit Bank,20774019
5673,23,2016-12-19,Withdrawal,Withdrawal in cash,3200,45710.6,,,
5684,23,2016-11-20,Withdrawal,Withdrawal in cash,4080,41693.2,,,
5723,23,2016-10-31,Withdrawal,Withdrawal in cash,15,46692.2,Payment on Statement,,
5724,23,2016-11-30,Withdrawal,Withdrawal in cash,15,41885.6,Payment on Statement,,
5725,23,2016-12-31,Withdrawal,Withdrawal in cash,15,45911.2,Payment on Statement,,
5785,23,2016-06-21,Withdrawal,Withdrawal in cash,5300,28632.0,,,
5786,23,2016-07-21,Withdrawal,Withdrawal in cash,11400,39359.8,,,
5787,23,2016-08-20,Withdrawal,Withdrawal in cash,19400,42182.9,,,
5788,23,2016-09-19,Withdrawal,Withdrawal in cash,17300,47139.5,,,
5789,23,2016-10-19,Withdrawal,Withdrawal in cash,22900,46511.5,,,
5790,23,2016-11-18,Withdrawal,Withdrawal in cash,17200,45773.2,,,
5791,23,2016-12-18,Withdrawal,Withdrawal in cash,20300,48910.6,,,
6517,26,2016-08-08,Credit,Credit in cash ,800,800.0,,,
6525,26,2016-08-12,Credit,Electronic funds transfer,24802,25602.0,,Moneta Money Bank,73418420
6526,26,2016-09-12,Credit,Electronic funds transfer,24802,51772.8,,Moneta Money Bank,73418420
6527,26,2016-10-12,Credit,Electronic funds transfer,24802,61450.6,,Moneta Money Bank,73418420
6528,26,2016-11-12,Credit,Electronic funds transfer,24802,67494.3,,Moneta Money Bank,73418420
6529,26,2016-12-12,Credit,Electronic funds transfer,37203,83469.3,,Moneta Money Bank,73418420
6716,26,2016-12-30,Withdrawal,Withdrawal in cash,1800,81669.3,,,
6766,26,2016-12-31,Withdrawal,Withdrawal in cash,15,81978.4,Payment on Statement,,
6826,26,2016-09-07,Credit,Credit in cash ,1300,26970.8,,,
6827,26,2016-10-07,Withdrawal,Withdrawal in cash,15300,36648.6,,,
6828,26,2016-11-06,Withdrawal,Withdrawal in cash,19000,42692.3,,,
6829,26,2016-12-06,Withdrawal,Withdrawal in cash,21500,46266.3,,,
6955,27,2016-09-26,Credit,Credit in cash ,900,900.0,,,
6965,27,2016-10-08,Credit,Credit in cash ,8627,9527.0,,,
6966,27,2016-11-08,Credit,Credit in cash ,8627,26468.4,,,
6967,27,2016-12-08,Credit,Credit in cash ,12940,37788.4,,,
7255,27,2016-10-26,Credit,Credit in cash ,8300,17827.0,,,
7256,27,2016-11-25,Withdrawal,Withdrawal in cash,1700,24768.4,,,
7257,27,2016-12-25,Withdrawal,Withdrawal in cash,8400,29388.4,,,
9220,33,2016-08-26,Credit,Credit in cash ,600,600.0,,,
9229,33,2016-09-09,Credit,Credit in cash ,23589,24189.0,,,
9230,33,2016-10-09,Credit,Credit in cash ,23589,49799.8,,,
9231,33,2016-11-09,Credit,Credit in cash ,23589,61108.5,,,
9232,33,2016-12-09,Credit,Credit in cash ,35384,80055.2,,,
9475,33,2016-09-25,Credit,Credit in cash ,2000,26189.0,,,
9476,33,2016-10-25,Withdrawal,Withdrawal in cash,12400,37399.8,,,
9477,33,2016-11-24,Withdrawal,Withdrawal in cash,16600,44508.5,,,
9478,33,2016-12-24,Withdrawal,Withdrawal in cash,27000,53055.2,,,
9606,34,2016-09-17,Credit,Credit in cash ,600,600.0,,,
9616,34,2016-10-11,Credit,Electronic funds transfer,31845,32445.0,,Trinity Bank,2569228
9617,34,2016-11-11,Credit,Electronic funds transfer,31845,61449.6,,Trinity Bank,2569228
9618,34,2016-12-11,Credit,Electronic funds transfer,47768,88964.6,,Trinity Bank,2569228
10027,34,2016-10-17,Withdrawal,Withdrawal in cash,2900,29545.0,,,
10028,34,2016-11-16,Withdrawal,Withdrawal in cash,20400,41049.6,,,
10029,34,2016-12-16,Withdrawal,Withdrawal in cash,33000,55964.6,,,
10154,35,2016-07-07,Credit,Credit in cash ,600,600.0,,,
10162,35,2016-08-05,Credit,Electronic funds transfer,5446,6046.0,Old-age Pension,Bank Creditas,60448020
10163,35,2016-09-05,Credit,Electronic funds transfer,5446,11492.0,Old-age Pension,Bank Creditas,60448020
10164,35,2016-10-05,Credit,Electronic funds transfer,5446,16938.0,Old-age Pension,Bank Creditas,60448020
10165,35,2016-11-05,Credit,Electronic funds transfer,5446,22384.0,Old-age Pension,Bank Creditas,60448020
10166,35,2016-12-05,Credit,Electronic funds transfer,5446,27830.0,Old-age Pension,Bank Creditas,60448020
10238,35,2016-12-13,Withdrawal,Remittance to Another Bank,1022,25446.0,Household ,UniCredit Bank,56788617
10310,35,2016-12-09,Withdrawal,Remittance to Another Bank,1362,26468.0,,UniCredit Bank,99848401
10456,35,2016-12-31,Withdrawal,Withdrawal in cash,15,25510.6,Payment on Statement,,
10612,36,2016-07-01,Credit,Credit in cash ,500,500.0,,,
10619,36,2016-07-05,Credit,Credit in cash ,19852,20352.0,,,
10620,36,2016-08-05,Credit,Credit in cash ,19852,44278.4,,,
10621,36,2016-09-05,Credit,Credit in cash ,19852,52834.4,,,
10622,36,2016-10-05,Credit,Credit in cash ,19852,59525.3,,,
10623,36,2016-11-05,Credit,Credit in cash ,19852,63843.7,,,
10624,36,2016-12-05,Credit,Credit in cash ,29778,68110.7,,,
10695,36,2016-11-05,Withdrawal,Remittance to Another Bank,4069,59774.7,Household ,J&T Bank ,80693810
10696,36,2016-12-05,Withdrawal,Remittance to Another Bank,4069,64041.7,Household ,J&T Bank ,80693810
10769,36,2016-12-03,Withdrawal,Withdrawal in cash,3360,38332.7,,,
10851,36,2016-11-30,Withdrawal,Withdrawal in cash,15,41692.7,Payment on Statement,,
10852,36,2016-12-31,Withdrawal,Withdrawal in cash,15,46985.3,Payment on Statement,,
10912,36,2016-07-31,Credit,Credit in cash ,4000,24426.4,,,
10913,36,2016-08-30,Withdrawal,Withdrawal in cash,11400,32878.4,,,
10914,36,2016-09-29,Withdrawal,Withdrawal in cash,13300,39534.4,,,
10915,36,2016-10-29,Withdrawal,Withdrawal in cash,15700,43825.3,,,
10916,36,2016-11-28,Withdrawal,Withdrawal in cash,18300,41474.7,,,
10917,36,2016-12-28,Withdrawal,Withdrawal in cash,17300,46741.7,,,
11479,39,2016-09-22,Credit,Credit in cash ,1100,1100.0,,,
11489,39,2016-10-05,Credit,Electronic funds transfer,6474,7574.0,Old-age Pension,Raiffeisen bank,84387933
11490,39,2016-11-05,Credit,Electronic funds transfer,6474,14048.0,Old-age Pension,Raiffeisen bank,84387933
11491,39,2016-12-05,Credit,Electronic funds transfer,6474,20522.0,Old-age Pension,Raiffeisen bank,84387933
11948,40,2016-10-25,Credit,Credit in cash ,700,700.0,,,
11959,40,2016-11-05,Credit,Credit in cash ,6502,7202.0,,,
11960,40,2016-12-05,Credit,Credit in cash ,9753,25370.2,,,
12314,40,2016-11-24,Credit,Credit in cash ,8400,15602.0,,,
12315,40,2016-12-24,Withdrawal,Withdrawal in cash,2200,23170.2,,,
13144,44,2016-05-10,Credit,Credit in cash ,400,400.0,,,
13150,44,2016-06-05,Credit,Electronic funds transfer,4200,4600.0,Old-age Pension,Czech export bank,4120284
13151,44,2016-07-05,Credit,Electronic funds transfer,4200,8800.0,Old-age Pension,Czech export bank,4120284
13152,44,2016-08-05,Credit,Electronic funds transfer,4200,13000.0,Old-age Pension,Czech export bank,4120284
13153,44,2016-09-05,Credit,Electronic funds transfer,4200,17200.0,Old-age Pension,Czech export bank,4120284
13154,44,2016-10-05,Credit,Electronic funds transfer,4200,21400.0,Old-age Pension,Czech export bank,4120284
13155,44,2016-11-05,Credit,Electronic funds transfer,4200,23300.3,Old-age Pension,Czech export bank,4120284
13156,44,2016-12-05,Credit,Electronic funds transfer,4200,22017.3,Old-age Pension,Czech export bank,4120284
13226,44,2016-10-09,Withdrawal,Remittance to Another Bank,2344,19056.0,Household ,Moneta Money Bank,11344862
13227,44,2016-11-09,Withdrawal,Remittance to Another Bank,2344,17756.3,Household ,Moneta Money Bank,11344862
13228,44,2016-12-09,Withdrawal,Remittance to Another Bank,2344,19673.3,Household ,Moneta Money Bank,11344862
13295,44,2016-12-20,Withdrawal,Withdrawal in cash,500,18613.3,,,
13339,44,2016-12-12,Withdrawal,Withdrawal in cash,560,19113.3,,,
13342,44,2016-11-08,Withdrawal,Withdrawal in cash,3200,20100.3,,,
13376,44,2016-10-31,Withdrawal,Withdrawal in cash,15,19100.3,Payment on Statement,,
13377,44,2016-11-30,Withdrawal,Withdrawal in cash,15,17817.3,Payment on Statement,,
13378,44,2016-12-31,Withdrawal,Withdrawal in cash,15,18676.4,Payment on Statement,,
13882,47,2016-08-08,Credit,Credit in cash ,300,300.0,,,
13890,47,2016-08-11,Credit,Electronic funds transfer,35257,35557.0,,Max bank,45187926
13891,47,2016-09-11,Credit,Electronic funds transfer,35257,65314.4,,Max bank,45187926
13892,47,2016-10-11,Credit,Electronic funds transfer,35257,79402.2,,Max bank,45187926
13893,47,2016-11-11,Credit,Electronic funds transfer,35257,86971.1,,Max bank,45187926
13894,47,2016-12-11,Credit,Electronic funds transfer,52886,108508.9,,Max bank,45187926
13966,47,2016-12-13,Withdrawal,Remittance to Another Bank,6940,38268.9,Household ,Raiffeisen bank,76620852
14182,47,2016-12-14,Withdrawal,Remittance to Another Bank,9,38259.9,,Max bank,30289006
14297,47,2016-12-22,Withdrawal,Withdrawal in cash,2400,35859.9,,,
14379,47,2016-12-31,Withdrawal,Withdrawal in cash,15,36085.9,Payment on Statement,,
14439,47,2016-09-07,Withdrawal,Withdrawal in cash,5600,30057.4,,,
14440,47,2016-10-07,Withdrawal,Withdrawal in cash,21400,44145.2,,,
14441,47,2016-11-06,Withdrawal,Withdrawal in cash,28000,51714.1,,,
14442,47,2016-12-06,Withdrawal,Withdrawal in cash,31700,55622.9,,,
14443,47,2016-12-11,Withdrawal,Withdrawal in cash,63300,45208.9,,,
17956,61,2016-12-11,Credit,Credit in cash ,700,700.0,,,
18391,62,2016-03-28,Credit,Credit in cash ,1100,1100.0,,,
18395,62,2016-04-05,Credit,Electronic funds transfer,5079,6179.0,Old-age Pension,Max bank,87209295
18396,62,2016-05-05,Credit,Electronic funds transfer,5079,11258.0,Old-age Pension,Max bank,87209295
18397,62,2016-06-05,Credit,Electronic funds transfer,5079,16337.0,Old-age Pension,Max bank,87209295
18398,62,2016-07-05,Credit,Electronic funds transfer,5079,21416.0,Old-age Pension,Max bank,87209295
18399,62,2016-08-05,Credit,Electronic funds transfer,5079,26495.0,Old-age Pension,Max bank,87209295
18400,62,2016-09-05,Credit,Electronic funds transfer,5079,27963.2,Old-age Pension,Max bank,87209295
18401,62,2016-10-05,Credit,Electronic funds transfer,5079,30858.9,Old-age Pension,Max bank,87209295
18402,62,2016-11-05,Credit,Electronic funds transfer,5079,31464.3,Old-age Pension,Max bank,87209295
18403,62,2016-12-05,Credit,Electronic funds transfer,5079,29769.5,Old-age Pension,Max bank,87209295
18471,62,2016-08-08,Withdrawal,Remittance to Another Bank,2273,24222.0,Household ,Trinity Bank,80010622
18472,62,2016-09-08,Withdrawal,Remittance to Another Bank,2273,25690.2,Household ,Trinity Bank,80010622
18473,62,2016-10-08,Withdrawal,Remittance to Another Bank,2273,28585.9,Household ,Trinity Bank,80010622
18474,62,2016-11-08,Withdrawal,Remittance to Another Bank,2273,29191.3,Household ,Trinity Bank,80010622
18475,62,2016-12-08,Withdrawal,Remittance to Another Bank,2273,27496.5,Household ,Trinity Bank,80010622
18536,62,2016-12-14,Withdrawal,Withdrawal in cash,900,26596.5,,,
18614,62,2016-08-31,Withdrawal,Withdrawal in cash,15,22884.2,Payment on Statement,,
18615,62,2016-09-30,Withdrawal,Withdrawal in cash,15,25779.9,Payment on Statement,,
18616,62,2016-10-31,Withdrawal,Withdrawal in cash,15,26385.3,Payment on Statement,,
18617,62,2016-11-30,Withdrawal,Withdrawal in cash,15,24690.5,Payment on Statement,,
18618,62,2016-12-31,Withdrawal,Withdrawal in cash,15,26491.4,Payment on Statement,,
18678,62,2016-08-25,Withdrawal,Withdrawal in cash,1400,22822.0,,,
18679,62,2016-10-24,Withdrawal,Withdrawal in cash,2300,26285.9,,,
18680,62,2016-11-23,Withdrawal,Withdrawal in cash,4600,24591.3,,,
18681,62,2016-12-23,Withdrawal,Withdrawal in cash,200,26396.5,,,
19358,66,2016-12-03,Credit,Credit in cash ,400,400.0,,,
19370,66,2016-12-09,Credit,Electronic funds transfer,67070,67470.0,,Raiffeisen bank,76316427
22178,73,2016-11-08,Credit,Credit in cash ,400,400.0,,,
22189,73,2016-11-11,Credit,Credit in cash ,19111,19511.0,,,
22190,73,2016-12-11,Credit,Credit in cash ,28667,48931.7,,,
22482,73,2016-12-08,Credit,Credit in cash ,700,20265.2,,,
23525,78,2016-07-07,Credit,Credit in cash ,400,400.0,,,
23532,78,2016-07-12,Credit,Credit in cash ,17478,17878.0,,,
23533,78,2016-08-12,Credit,Credit in cash ,17478,37804.1,,,
23534,78,2016-09-12,Credit,Credit in cash ,17478,46910.1,,,
23535,78,2016-10-12,Credit,Credit in cash ,17478,51669.6,,,
23536,78,2016-11-12,Credit,Credit in cash ,17478,57055.9,,,
23537,78,2016-12-12,Credit,Credit in cash ,26217,56446.3,,,
23609,78,2016-12-06,Withdrawal,Remittance to Another Bank,9039,30229.3,Household ,Hypotecni bank,32111394
23676,78,2016-12-22,Withdrawal,Withdrawal in cash,2200,54246.3,,,
23718,78,2016-12-01,Withdrawal,Withdrawal in cash,3800,52068.3,,,
23720,78,2016-11-18,Withdrawal,Withdrawal in cash,1400,55655.9,,,
23759,78,2016-11-30,Withdrawal,Withdrawal in cash,15,55868.3,Payment on Statement,,
23760,78,2016-12-31,Withdrawal,Withdrawal in cash,15,54437.9,Payment on Statement,,
23820,78,2016-08-06,Credit,Credit in cash ,2400,20326.0,,,
23821,78,2016-09-05,Withdrawal,Withdrawal in cash,8500,29432.1,,,
23822,78,2016-10-05,Withdrawal,Withdrawal in cash,12900,34191.6,,,
23823,78,2016-11-04,Withdrawal,Withdrawal in cash,12300,39577.9,,,
23824,78,2016-12-04,Withdrawal,Withdrawal in cash,12800,39268.3,,,
25020,83,2016-04-16,Credit,Credit in cash ,500,500.0,,,
25025,83,2016-05-06,Credit,Credit in cash ,9226,9726.0,,,
25026,83,2016-06-06,Credit,Credit in cash ,13839,30400.5,,,
25027,83,2016-07-06,Credit,Credit in cash ,9226,37421.1,,,
25028,83,2016-08-06,Credit,Credit in cash ,9226,41272.9,,,
25029,83,2016-09-06,Credit,Credit in cash ,9226,42434.7,,,
25030,83,2016-10-06,Credit,Credit in cash ,9226,38142.4,,,
25031,83,2016-11-06,Credit,Credit in cash ,9226,40230.7,,,
25032,83,2016-12-06,Credit,Credit in cash ,13839,41225.4,,,
25101,83,2016-09-13,Withdrawal,Remittance to Another Bank,2210,36284.7,Household ,Kameron bank,26468819
25102,83,2016-10-13,Withdrawal,Remittance to Another Bank,2210,30892.4,Household ,Kameron bank,26468819
25103,83,2016-11-13,Withdrawal,Remittance to Another Bank,2210,27280.7,Household ,Kameron bank,26468819
25104,83,2016-12-13,Withdrawal,Remittance to Another Bank,2210,27175.4,Household ,Kameron bank,26468819
25173,83,2016-09-11,Withdrawal,Remittance to Another Bank,3940,38494.7,,Trinity Bank,41590857
25174,83,2016-10-11,Withdrawal,Remittance to Another Bank,3940,34202.4,,Trinity Bank,41590857
25175,83,2016-11-11,Withdrawal,Remittance to Another Bank,3940,36290.7,,Trinity Bank,41590857
25176,83,2016-12-11,Withdrawal,Remittance to Another Bank,3940,37285.4,,Trinity Bank,41590857
25249,83,2016-12-29,Withdrawal,Withdrawal in cash,1600,25575.4,,,
25291,83,2016-12-29,Withdrawal,Withdrawal in cash,3480,22095.4,,,
25333,83,2016-09-30,Withdrawal,Withdrawal in cash,15,28916.4,Payment on Statement,,
25334,83,2016-10-31,Withdrawal,Withdrawal in cash,15,31004.7,Payment on Statement,,
25335,83,2016-11-30,Withdrawal,Withdrawal in cash,15,27386.4,Payment on Statement,,
25336,83,2016-12-31,Withdrawal,Withdrawal in cash,15,22193.8,Payment on Statement,,
25396,83,2016-05-16,Credit,Credit in cash ,6800,16526.0,,,
25397,83,2016-06-15,Withdrawal,Withdrawal in cash,2300,28100.5,,,
25398,83,2016-07-15,Withdrawal,Withdrawal in cash,5500,31921.1,,,
25399,83,2016-08-14,Withdrawal,Withdrawal in cash,8200,33072.9,,,
25400,83,2016-09-13,Withdrawal,Withdrawal in cash,7500,28784.7,,,
25401,83,2016-10-13,Withdrawal,Withdrawal in cash,1100,33102.4,,,
25402,83,2016-11-12,Withdrawal,Withdrawal in cash,6800,29490.7,,,
25403,83,2016-12-12,Withdrawal,Withdrawal in cash,7900,29385.4,,,
26045,86,2016-03-07,Credit,Credit in cash ,800,800.0,,,
26048,86,2016-03-11,Credit,Electronic funds transfer,3243,4043.0,,Bank Creditas,93896942
26049,86,2016-04-11,Credit,Electronic funds transfer,3243,7297.4,,Bank Creditas,93896942
26050,86,2016-05-11,Credit,Electronic funds transfer,3243,10557.3,,Bank Creditas,93896942
26051,86,2016-06-11,Credit,Electronic funds transfer,3243,13817.1,,Bank Creditas,93896942
26052,86,2016-07-11,Credit,Electronic funds transfer,3243,17076.9,,Bank Creditas,93896942
26053,86,2016-08-11,Credit,Electronic funds transfer,3243,17232.1,,Bank Creditas,93896942
26054,86,2016-09-11,Credit,Electronic funds transfer,3243,18365.2,,Bank Creditas,93896942
26055,86,2016-10-11,Credit,Electronic funds transfer,3243,19501.9,,Bank Creditas,93896942
26056,86,2016-11-11,Credit,Electronic funds transfer,3243,20643.5,,Bank Creditas,93896942
26057,86,2016-12-11,Credit,Electronic funds transfer,3243,21159.7,,Bank Creditas,93896942
26125,86,2016-08-10,Withdrawal,Remittance to Another Bank,1002,13989.1,,Hypotecni bank,36292475
26126,86,2016-09-10,Withdrawal,Remittance to Another Bank,1002,15122.2,,Hypotecni bank,36292475
26127,86,2016-10-10,Withdrawal,Remittance to Another Bank,1002,16258.9,,Hypotecni bank,36292475
26128,86,2016-11-10,Withdrawal,Remittance to Another Bank,1002,17400.5,,Hypotecni bank,36292475
26129,86,2016-12-10,Withdrawal,Remittance to Another Bank,1002,17916.7,,Hypotecni bank,36292475
26196,86,2016-07-12,Withdrawal,Remittance to Another Bank,1160,15916.9,,UniCredit Bank,48764252
26197,86,2016-08-12,Withdrawal,Remittance to Another Bank,1160,16072.1,,UniCredit Bank,48764252
26198,86,2016-09-12,Withdrawal,Remittance to Another Bank,1160,17205.2,,UniCredit Bank,48764252
26199,86,2016-10-12,Withdrawal,Remittance to Another Bank,1160,18341.9,,UniCredit Bank,48764252
26200,86,2016-11-12,Withdrawal,Remittance to Another Bank,1160,19483.5,,UniCredit Bank,48764252
26201,86,2016-12-12,Withdrawal,Remittance to Another Bank,1160,19999.7,,UniCredit Bank,48764252
26274,86,2016-12-07,Withdrawal,Withdrawal in cash,630,18918.7,,,
26316,86,2016-08-08,Withdrawal,Withdrawal in cash,960,14991.1,,,
26355,86,2016-07-31,Withdrawal,Withdrawal in cash,15,15951.1,Payment on Statement,,
26356,86,2016-08-31,Withdrawal,Withdrawal in cash,15,16124.2,Payment on Statement,,
26357,86,2016-09-30,Withdrawal,Withdrawal in cash,15,17260.9,Payment on Statement,,
26358,86,2016-10-31,Withdrawal,Withdrawal in cash,15,18402.5,Payment on Statement,,
